,Feature,iv,Feature_Importance_ExtratreeClassifier
1,Own_Car,0.0162,0.04356308211213971
2,Own_Realty,0.0063,0.05623239579058559
3,Income,0.087,0.05984700704858835
8,Family_Member_Count,0.0084,0.020466006283281307
9,begin_month,0.1681,0.049300679992068976
10,Is_Working,0.0114,0.01927114909155301
11,In_Relationship,0.0098,0.020961276698376212
13,Age,0.1021,0.04970921985706605
14,Experience,0.0557,0.036999295218356654
19,Education_Higher education,0.0066,0.06641188409307228
20,Education_secondary,0.0167,0.0785758139931116
22,Family_Status_Single,0.0217,0.09476858852351966
